85,brzeski,Iwkowa,"Publiczna Szkoła Podstawowa im. gen. Marcina
Kątskiego w Kątach",Kąty,,19,0,60,5,64,56,19,64,4,,,,,,0.4974516539978208
86,brzeski,Iwkowa,"Zespół Szkół - Publiczna Szkoła Podstawowa w
Wojakowej",Wojakowa,,14,0,48,2,61,35,14,67,5,,,,,,0.26732919839346214
87,brzeski,Iwkowa,Publiczna Szkoła Podstawowa w Dobrocieszu,Dobrociesz,,6,0,71,7,84,58,6,78,7,,,,,,0.615743799993578
88,brzeski,Szczurowa,"Publiczna Szkoła Podstawowa w Strzelcach
Wielkich im. Tadeusza Kościuszki","Strzelce
Wielkie",,14,14,68,7,75,61,14,63,4,,,,,,0.5059370711794454
89,brzeski,Szczurowa,Publiczna Szkoła Podstawowa,Niedzieliska,,7,0,76,8,79,73,7,75,6,,,,,,0.742771643436229
90,brzeski,Szczurowa,"Publiczna Szkoła Podstawowa w Uściu Solnym im.
Króla Kazimierza Wielkiego",Uście Solne,,8,0,48,2,65,31,8,63,4,,,,,,0.267262048623061
91,brzeski,Szczurowa,Szkoła Podstawowa,Szczurowa,Rynek,30,0,57,4,67,47,30,57,3,,,,,,0.44455835752603107
92,brzeski,Szczurowa,"Publiczna Szkoła Podstawowa im. Mjr Henryka
Sucharskiego w Woli Przemykowskiej","Wola
Przemykowska",,4,0,65,6,76,54,4,59,3,,,,,,0.49388727196831816
93,brzeski,Szczurowa,"Publiczna Szkoła Podstawowa im. Władysława
Jagiełły w Zaborowie",Zaborów,,14,0,58,4,68,48,14,72,6,,,,,,0.4387804896450843
94,chrzanowski,Alwernia,"Szkoła Podstawowa im. St. Wyspiańskiego w
Porębie Żegoty",Poręba Żegoty,Szembeków,11,9,73,8,81,65,11,81,7,,,,,,0.6784330896426013
95,chrzanowski,Alwernia,"Szkoła Podstawowa im. M. Skłodowskiej-Curie w
Alwerni",Alwernia,"Skłodowskiej-
Curie",32,25,66,6,74,59,32,81,7,,,,,,0.5939282648352555
96,chrzanowski,Alwernia,Szkoła Podstawowa im. T. Kościuszki w Regulicac,Regulice,,14,14,64,6,68,60,14,81,7,,,,,,0.5442880244933092
97,chrzanowski,Alwernia,Szkoła Podstawowa,Brodła,Edukacyjna,5,20,58,4,76,39,5,53,2,,,,,,0.2828996581503181
98,chrzanowski,Alwernia,"Szkoła Podstawowa im. Józefa Patelskiego w
Kwaczale",Kwaczała,Jana Pawła II,23,13,64,6,73,55,23,67,5,,,,,,0.5299448424866722
99,chrzanowski,Alwernia,Szkoła Podstawowa im. Szarych Szeregów,Grojec,"Bartosza
Głowackiego",10,0,69,7,79,60,10,77,7,,,,,,0.6216148869176046
100,chrzanowski,Alwernia,"Szkoła Podstawowa im. I. J. Paderewskiego w
Okleśnej",Okleśna,Nowowiejska,13,8,67,6,73,60,13,71,5,,,,,,0.6001932571171776
101,chrzanowski,Babice,"Szkoła Podstawowa im. Boh. Westerplatte w
Rozkochowie",Rozkochów,"Chemików
pi",8,0,64,6,73,56,8,59,3,,,,,,0.5210395937891615
102,chrzanowski,Babice,"Szkoła Podstawowa im. Małgorzaty Fornalskiej w
Jankowicach",Jankowice,"Stanisława
Staszica",15,7,59,4,68,51,15,70,5,,,,,,0.4823722179089155
103,chrzanowski,Babice,"Zespół Szkół - Szkoła Podstawowa im. Mikołaja
Kopernika w Mętkowie",Mętków,Ks. K. Wojtyłyz,17,0,53,3,56,49,17,68,5,,,,,,0.34119973259677105
104,chrzanowski,Babice,"Zespół Szkół w Zagórzu - Szkoła Podstawowa im.
Ks. A. Chojnackiego",Zagórze,M. J. Piłsudskiego,17,18,59,4,73,45,17,61,4,,,,,,0.3987295134943084
105,chrzanowski,Chrzanów,"Szkoła Podstawowa nr 1 z Oddziałami
Integracyjnymi im. Adama Mickiewicza",Chrzanów,Borelowskiego,57,14,61,5,72,49,58,80,7,,,,,,0.47820591920336386
106,chrzanowski,Chrzanów,Szkoła Podstawowa nr 10 w Chrzanowie,Chrzanów,"Kardynała
Wyszyńskiego",49,22,67,6,76,57,49,81,7,,,,,,0.5797899018902988
107,chrzanowski,Chrzanów,"Szkoła Podstawowa Nr 3 im. Królowej Jadwigi w
Chrzanowie",Chrzanów,Aleja Henryka,66,11,61,5,70,52,66,74,6,,,,,,0.5026528332438925
108,chrzanowski,Chrzanów,"Szkoła Podstawowa Nr 5 im.ks.Michała Potaczały
w Chrzanowie",Chrzanów,Fabryczna,15,7,64,6,76,53,15,74,6,,,,,,0.5394548843113738
