   mwg14_2015   | kod_pocztowy |      nazwa_miejsc      | kod_miejsc |   nazwa_cz_miejsc   | kod_cz_miejsc | kod_gminy | kod_gminy_distr |   nazwa_woj   |  nazwa_pow  |      nazwa_gmi      | segment_gminy 
 30211646786902 | 62-020       | SWARZĘDZ               | 0971502    |                     |               | 3021164   | 3021164         | WIELKOPOLSKIE | POZNAŃSKI   | SWARZĘDZ            | A2
 30211656830714 | 61-059       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496728301 | 61-058       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 12610393926408 | 31-985       | KRAKÓW                 | 0950463    | KRAKÓW-NOWA HUTA    | 0950718       | 1261011   | 1261039         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-NOWA HUTA    | A1
 12610393926407 | 31-985       | KRAKÓW                 | 0950463    | KRAKÓW-NOWA HUTA    | 0950718       | 1261011   | 1261039         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-NOWA HUTA    | A1
 12610393926606 | 31-985       | KRAKÓW                 | 0950463    | KRAKÓW-NOWA HUTA    | 0950718       | 1261011   | 1261039         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-NOWA HUTA    | A1
 12610393926605 | 31-985       | KRAKÓW                 | 0950463    | KRAKÓW-NOWA HUTA    | 0950718       | 1261011   | 1261039         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-NOWA HUTA    | A1
 12610393926603 | 31-985       | KRAKÓW                 | 0950463    | KRAKÓW-NOWA HUTA    | 0950718       | 1261011   | 1261039         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-NOWA HUTA    | A1
 12610393926701 | 31-985       | KRAKÓW                 | 0950463    | KRAKÓW-NOWA HUTA    | 0950718       | 1261011   | 1261039         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-NOWA HUTA    | A1
 12610493938305 | 30-698       | KRAKÓW                 | 0950463    | KRAKÓW-PODGÓRZE     | 0950960       | 1261011   | 1261049         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-PODGÓRZE     | A1
 12610593946007 | 31-559       | KRAKÓW                 | 0950463    | KRAKÓW-ŚRÓDMIEŚCIE  | 0951327       | 1261011   | 1261059         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-ŚRÓDMIEŚCIE  | A1
 12610593946008 | 31-559       | KRAKÓW                 | 0950463    | KRAKÓW-ŚRÓDMIEŚCIE  | 0951327       | 1261011   | 1261059         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-ŚRÓDMIEŚCIE  | A1
 12610593946009 | 31-559       | KRAKÓW                 | 0950463    | KRAKÓW-ŚRÓDMIEŚCIE  | 0951327       | 1261011   | 1261059         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-ŚRÓDMIEŚCIE  | A1
 12610593946209 | 31-567       | KRAKÓW                 | 0950463    | KRAKÓW-ŚRÓDMIEŚCIE  | 0951327       | 1261011   | 1261059         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-ŚRÓDMIEŚCIE  | A1
 12610593941105 | 31-457       | KRAKÓW                 | 0950463    | KRAKÓW-ŚRÓDMIEŚCIE  | 0951327       | 1261011   | 1261059         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-ŚRÓDMIEŚCIE  | A1
 12190123959603 | 32-020       | BISKUPICE              | 0314879    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
 12190123959601 | 32-020       | BISKUPICE              | 0314879    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
 12190123959504 | 32-020       | BODZANÓW               | 0314922    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
 12190123959503 | 32-020       | BODZANÓW               | 0314922    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
 12190123959505 | 32-020       | BODZANÓW               | 0314922    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
 12190123959403 | 32-020       | BODZANÓW               | 0314922    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
 12190123959501 | 32-020       | BODZANÓW               | 0314922    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
 12190123959606 | 32-020       | JAWCZYCE               | 0315005    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
 12190123959904 | 32-020       | JAWCZYCE               | 0315005    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
 12190123959905 | 32-020       | JAWCZYCE               | 0315005    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
 12190123959804 | 32-020       | ŁAZANY                 | 0315086    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
 12190123959902 | 32-020       | ŁAZANY                 | 0315086    |                     |               | 1219012   | 1219012         | MAŁOPOLSKIE   | WIELICKI    | BISKUPICE           | A2
